content_traduzido,sentiment,sentiment_polarity
o app da shopee e razoavel apesar de ser facil de utilizar apresenta alguns bugs por exemplo sugestao de palavra errada no campo pesquisa que acarreta na busca errada sugestoes produtos que nao tem nada a ver com coisas nosso interesse dificuldade acesso alguns jogos ou travamento durante alguma jogada falhas para carregar certos anexos para avaliacao dos produtos no geral sao problemas que se pode contornar pois nao ocorrem com tanta frequencia,sadness,positive
o app e bem otimizado facil de visualizar os produtos pedidos e rastreio interface intuitiva porem existem incomodos acho que o principal e a ma recomendacao de produtos as vezes aparece uns produtos que nao deveriam aparecer que nao tem nada a ver com o pesquisado ate entao como brinquedos sexuais me incomoda um pouco isso porem nao atrapalha por completo a utilizacao do app no geral app muito bom loja em geral tambem faz um bom trabalho,sadness,positive
o app e muito bom pratico e facil de entender porem alguns vendedores mandam produtos que apesar de bem semelhantes ao anuncio ainda tem la suas diferencas e em celulares fracos como o meu tem vezes que o app fecha sozinho ou trava chegando a nem abrir as vezes poderia ser mais leve otimizado para dispositivos fracos mas fora isso app otimo excelentes produtos simples de usar,sadness,positive
aplicativo muito bom mas algo que me chateou bastante foi o fato de que ao pesquisar um produto e colocar o cep aparece que o frete e gratis ou bem baratinho e acima de frete gratuito mas comprei produtos de valores altos quando coloquei no carrinho fechei pedido apareceu valores altos frete deu vontade desistir da compra mas como precisava muito acabei comprando acho deveriam informar valor correto do no momento da pesquisa quando colocamos cep,sadness,positive
o app e muito bom porem tenho tido dificuldades para pagamento no cartao de credito apos fazer compra no pix eu altero o meio de pagamento porem quando chega na parte de colocar o codigo do cartao trava e nao sai daquela area ja deixei fazer muitas compras por conta disso se puderem concertar esse bug seria otimo para nos consumidores,disgust,negative
e muito bom esse app porem ele fica travando um pouco ate mesmo na hora de concluir a compra ai precisa sair e entrar novamente precisaria melhor a plataforma mas no mais e bom passando para dizer que houve melhoras finalizacao da compra esta super rapida adorei a opcao de parcelar rosto risonho com olhos bem abertos,happiness,positive
tenho gostado bastante do app acredito que em decorrencia das atualizacoes o app parou de travar durante a sua inicializacao neste momento inicio o app com muita agilidade quanto aos produtos consigo encontrar excelentes precos e qualidades tambem,happiness,positive
adoro tudo que voce pensar tem e as promocoes de frete sao o diferencial desse app as pessoas colaboram muito no sentido de avaliar os produtos com fotos e videos alem dos comentarios o que facilita identificar a qualidade na hora de escolher o que comprar ja fiz varias compras e na grande maioria fiquei muito satisfeita,happiness,positive
o app e muito bom algumas mercadorias sao realmente de qualidade e preco justo chega no prazo as vezes antes mas agora me peguei tentando rastrear um pedido que fiz e nao sei como faz rosto deprimido pelo site dos correios nao aceita pq o numero de rastreamento fora do padrao uma vez que estava marcado pra chegar em uma data agora mudou radicalmente se tiver alguem que saiba sobre esse rastreamento no mais estou gostando comprei muitas coisas de qualidade,sadness,positive
estava com problema inicial de nao conseguir enviar mensagens no chat para tirar duvidas sobre os produtos com os vendedores abri ajuda fiz todos os passos das orientacoes e atendimento e tive que desistalar e reinstalar o app para funcionar porem funcionou somente naquele mesmo dia no dia seguinte voltou o problema terca tambem tentei reclamar de um produto que recebi nao consigo pois o chat nao vai hoje ja reinstalei vezes app reconhece codigo por whatsapp ou por sms,anger,negative
pra mim e o melhor shopping online que surgiu respeita o cliente consumidor em todos os aspectos tempo de entrega excelente varios beneficios infinidade de lojas e produtos e ainda um site super facil de entender sem complicacoes nao trava tudo funciona muito bem,happiness,positive
servico de varejo muito bom o sistema de frete e otimo e funciona muito bem ha muitos produtos bons e recomendo que comprem sempre no inicio de setembro pois a data aniversario da shopee tem muitas promocoes otimo aplicativo nao tive problemas com nenhuma compra ate agora,happiness,positive
