content,spacy_lemma,sentiment_polarity,sentiment_polarity_predict
Esse app é Muito ruim pois fica aparecendo propaganda de 2 em 2 minutos não instalem é puro virus,"['app', 'muito', 'ruim', 'ficar', 'aparecer', 'propaganda', 'minuto', 'instaler', 'puro', 'virus']",negative,negative
"Olá, vim relatar um problema, sempre usei o App sem apresentar nenhum erro, mas depois dessa atualização, acredito que não só comigo, mas também com outros usuários, o App vem apresentando bugs, principalmente para mandar ou postar vídeos e fotos, alguns arquivos ñ enviam, ou simplesmente não carregam, mudem isso por favor, afeta muito na utilidade do app.","['vir', 'relatar', 'problema', 'sempre', 'usei', 'apresentar', 'erro', 'atualizacao', 'acreditar', 'usuario', 'app', 'vir', 'apresentar', 'bugs', 'principalmente', 'mandar', 'postar', 'video', 'foto', 'arquivo', 'enviar', 'simplesmente', 'carregar', 'muder', 'favor', 'afeta', 'utilidade', 'app']",negative,negative
"Já tem um mês que fiz pedido de reembolso de dois produtos e até agora não fui reembolsado, tento entrar em contato porém é difícil. Vou ter procurar a defesa do consumidor para solucionar logo esse problema.","['fiz', 'pedir', 'reembolso', 'produto', 'agora', 'reembolsar', 'tentar', 'entrar', 'contato', 'por', 'dificil', 'ter', 'procurar', 'defesa', 'consumidor', 'solucionar', 'logo', 'problema']",negative,negative
"A versão para celular tem umas limitações chatas, pra melhorar a experiência de uso pelo celular eu sugiro: Ter mais recursos para editar o texto e o vídeo pelo celular, como: Escolher a fonte, o efeito e o fundo das letras antes de aplicar o vídeo. Aplicar as mesmas configurações a todas as páginas para acelerar o processo de criação. Isso tornaria o aplicativo mais interessante e prático","['versao', 'celular', 'limitacoes', 'chata', 'melhorar', 'experiencia', 'uso', 'celular', 'sugiro', 'ter', 'recurso', 'editar', 'texto', 'video', 'celular', 'escolher', 'fonte', 'efeito', 'fundo', 'antes', 'aplicar', 'video', 'aplicar', 'mesmo', 'configuracoe', 'pagino', 'acelerar', 'processo', 'criacao', 'tornar', 'aplicativo', 'interessante', 'pratico']",neutral,positive
"Trava com tudo o que faz, eu coloco a música e ele fica travando e fica impossível de editar! Se coloca um efeito ele trava ou fica super lento. Tem q melhorar muita coisa, vou ter que baixar um novo editor já que o capcut é tão bugado assim.","['trar', 'fazer', 'coloco', 'musica', 'ficar', 'travar', 'ficar', 'impossivel', 'editar', 'colocar', 'efeito', 'trar', 'ficar', 'super', 'lento', 'melhorar', 'coisa', 'ter', 'baixar', 'novo', 'editor', 'Capcut', 'bugar', 'assim']",negative,negative
"Gosto da plataforma de compras, mas o app tem muitos bugs. Já reinstalei e continua tendo erros constantes no carregamento da página. Faz com que eu desista da compra muitas vezes. Frustrante como experiência de usuário.","['gostar', 'plataformar', 'compra', 'app', 'bugs', 'reinstalei', 'continuar', 'ter', 'erro', 'constante', 'carregamento', 'pagina', 'fazer', 'desista', 'compra', 'vez', 'frustrante', 'experiencia', 'usuario']",negative,negative
"Faz pouco tempo que uso esse aplicativo. Fiz duas compras lá e quando recebi, só decepção. Nada haver com o que mostra no anúncio. Só gastei meu dinheiro 😞","['fazer', 'tempo', 'uso', 'aplicativo', 'fiz', 'compra', 'recebi', 'decepcao', 'mostrar', 'anuncio', 'gastar', 'dinheiro', 'rosto', 'desapontar']",negative,negative
"O canva é um ótimo app eu uso pra tudo,mais ultimamente ele está tendo uns certos problemas como eu tento entrar pra fazer minha coisa..ele carrega a tela só que logo fecha..eu já desinstalei e instalei denovo mais continua a mesma coisa","['canva', 'otimo', 'App', 'uso', 'ultimamente', 'ter', 'problema', 'tentar', 'entrar', 'fazer', 'coisa', 'telo', 'logo', 'fechar', 'desinstalei', 'instalei', 'denovo', 'continuar', 'mesmo', 'coisa']",positive,positive
Por favor deixem uma opção para desativar o app como conteúdo sensível (ocultar conteúdo em prints e gravações de tela). Eu estou precisando bater um print e ele sai todo preto. Eu entendo que é por questões de segurança mas eu quero e preciso bater print de transações as vezes então seria bom ter a opção de desativar esse recurso e depois reativar quando eu não precisar mais,"['favor', 'deixem', 'opcao', 'desativar', 'conteudo', 'sensivel', 'ocultar', 'precisar', 'bater', 'print', 'sair', 'preto', 'enter', 'seguranca', 'querer', 'preciso', 'bater', 'print', 'transacoes', 'vez', 'entao', 'bom', 'ter', 'opcao', 'desativar', 'recurso', 'reativar', 'precisar']",negative,negative
"O app é muito bom, mas apresenta falhas com bastante frequência desde que entrei há 6 anos. Uma coisa que me incomoda bastante é que em contas distintas existem funcionalidades distintas. Funções que existem em uma não existem em outra e vice-versa","['app', 'bom', 'apresentar', 'falha', 'bastante', 'frequencer', 'entrar', 'ano', 'coisa', 'incomodo', 'bastante', 'conta', 'distinto', 'existir', 'funcionalidade', 'distintas', 'funcoe', 'existir', 'existir', 'vice', 'versa']",negative,negative
