content_traduzido,sentiment,sentiment_polarity,spacy_lemma,cleaned_content,cluster,umap_x,umap_y,distance_to_centroid,original_index
problema ja resolvido nota,happiness,positive,"['problema', 'resolver', 'nota']",problema resolver nota,-1,-0.85373104,-4.144862,,219
comprei ate agora pra uso pessoal duas camisas polo quatro bermudas jeans duas bermudas dois shorts bermuda azul preta preta veio justa apesar produto recentemente comprei dois shorts jeans deviam ter cm comprimento ambas vieram cm vou deixar comprar bermudas shorts causa disso,fear,negative,"['comprei', 'agora', 'uso', 'pessoal', 'camisa', 'polo', 'bermuda', 'jeans', 'bermuda', 'short', 'azul', 'preto', 'preto', 'vir', 'justo', 'produto', 'recentemente', 'comprei', 'short', 'dever', 'ter', 'comprimento', 'vier', 'deixar', 'comprar', 'bermuda', 'shorts', 'causa']",comprei agora uso pessoal camisa polo bermuda jeans bermuda short azul preto preto vir justo produto recentemente comprei short dever ter comprimento vier deixar comprar bermuda shorts causa,-1,14.559241,-0.49541423,,319
aplicativo bom vou dar estrelas pq super intrusivo voce instala aplicativo ja vem recebendo bando email notificacoes parar dei permissao mandar email descadastrar tirar notificacoes serve bem,sadness,positive,"['aplicativo', 'bom', 'dar', 'estrela', 'super', 'intrusivo', 'instalar', 'aplicativo', 'vir', 'receber', 'bar', 'email', 'notificacoes', 'parar', 'dar', 'permissao', 'mandar', 'descadastrar', 'tirar', 'notificacoes', 'servir', 'bem']",aplicativo bom dar estrela super intrusivo instalar aplicativo vir receber bar email notificacoes parar dar permissao mandar descadastrar tirar notificacoes servir bem,-1,-5.2406507,-1.1994878,,331
muita sorte compras shein ultima compra notificada pagamento caro mercadoria pra recebe la quantia nao extrapolada dolares ainda sim taxada,neutral,neutral,"['sorte', 'compra', 'shein', 'ultima', 'compra', 'notificar', 'pagamento', 'caro', 'mercadorio', 'receber', 'quantia', 'extrapolar', 'dolar', 'ainda', 'sim', 'taxar']",sorte compra shein ultima compra notificar pagamento caro mercadorio receber quantia extrapolar dolar ainda sim taxar,-1,5.3516045,-0.8726602,,400
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao norte,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'norte']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar norte,-1,4.857957,-4.184176,,558
app fralde pontuacao diaria todos dias entro app pra manter pontuacao dia inves subir caido dia apos dia varios prints pra provar realmente roubam pontos pra nunca chegar mil pontos rosto aborrecido,anger,negative,"['pontuacao', 'diario', 'dia', 'entro', 'app', 'manter', 'pontuacao', 'dia', 'inves', 'cair', 'dia', 'apo', 'dia', 'vario', 'prints', 'provar', 'realmente', 'rouber', 'ponto', 'nunca', 'chegar', 'ponto', 'rosto', 'aborrecer']",pontuacao diario dia entro app manter pontuacao dia inves cair dia apo dia vario prints provar realmente rouber ponto nunca chegar ponto rosto aborrecer,-1,1.5448377,3.3140426,,602
tik tok tambem primeiro todos conheci ajudou crescimento so bencao atras bencao deus abencoe grandemente versao tik tok boa light melhor app ajudou trabalho so maravilha senhor jesus cristo amem,happiness,positive,"['tik', 'tok', 'tamber', 'primeiro', 'ajudar', 'crescimento', 'bencao', 'atra', 'Deus', 'abencoe', 'grandemente', 'versao', 'tik', 'tok', 'bom', 'light', 'bom', 'app', 'ajudar', 'trabalho', 'maravilha', 'senhor', 'Amem']",tik tok tamber primeiro ajudar crescimento bencao atra deus abencoe grandemente versao tik tok bom light bom app ajudar trabalho maravilha senhor amem,-1,-1.6860744,-2.665189,,831
baixei tiktok normal nao abrir celular vou baixar like ver sai espectativas deveriam menos possibilitar ver analise conteudo disponibilizar ferramenta criador,neutral,neutral,"['baixei', 'normal', 'nao', 'abrir', 'celular', 'baixar', 'ver', 'sair', 'espectativa', 'dever', 'menos', 'possibilitar', 'ver', 'analise', 'conteudo', 'disponibilizar', 'ferramenta', 'criador']",baixei normal nao abrir celular baixar ver sair espectativa dever menos possibilitar ver analise conteudo disponibilizar ferramenta criador,-1,0.38337106,13.010523,,871
anos atras nota conta quedas sistema q baixar p nota volta meia sistema fica ar ate medo rua comendo lanche fazendo compras ficar ter pagar preocupante rosto desapontado tirando banco otimo melhor q fisicos aspecto geral meses retorno baixar estrla conta bugs constantes aplicativo,fear,negative,"['ano', 'atra', 'nota', 'contar', 'queda', 'sistema', 'baixar', 'nota', 'voltar', 'meia', 'sistema', 'ficar', 'ar', 'medo', 'rua', 'comer', 'lanchar', 'fazer', 'compra', 'ficar', 'pagar', 'preocupante', 'rosto', 'desapontar', 'tirar', 'banco', 'otimo', 'bom', 'q', 'fisico', 'aspecto', 'geral', 'mês', 'retorno', 'baixar', 'estrla', 'contar', 'bugs', 'constante', 'aplicativo']",ano atra nota contar queda sistema baixar nota voltar meia sistema ficar ar medo rua comer lanchar fazer compra ficar pagar preocupante rosto desapontar tirar banco otimo bom q fisico aspecto geral ms retorno baixar estrla contar bugs constante aplicativo,-1,5.3506603,-6.0215797,,957
volta dia parou funcionar perdi acesso pix tudo uns dias apos reinstalacao consegui logar novo app acessar conta fiquei preocupado rosto desapontado resolvido bem chato verdade ninguem garante nao acontecera novo,fear,negative,"['voltar', 'dia', 'parar', 'funcionar', 'perdi', 'acesso', 'pix', 'dia', 'apo', 'conseguir', 'logar', 'novo', 'app', 'acessar', 'conta', 'fiquei', 'preocupar', 'rosto', 'desapontar', 'resolver', 'bem', 'chato', 'verdade', 'ninguem', 'garantir', 'nao', 'acontecera', 'novo']",voltar dia parar funcionar perdi acesso pix dia apo conseguir logar novo app acessar conta fiquei preocupar rosto desapontar resolver bem chato verdade ninguem garantir nao acontecera novo,-1,1.6595187,3.4330285,,1019
cada dia passa app fica cada vez pior pesado demora abrir abre trava homem decepcionado pele clara,anger,negative,"['dia', 'passar', 'App', 'ficar', 'mau', 'pesar', 'abrir', 'abrir', 'trar', 'homem', 'decepcionar', 'pele', 'claro']",dia passar app ficar mau pesar abrir abrir trar homem decepcionar pele claro,-1,-5.1260543,-1.0728198,,1125
app horrivel n tira anuncios n sei pessoas colocaram nota boa pra app lix n merece baixado so baixei pra xigar app lix bos nunca baixem so vai colocar anuncios tirar espaco super recomendo rosto simbolos boca,anger,negative,"['app', 'horrivel', 'tira', 'anuncio', 'saber', 'pessoa', 'colocar', 'nota', 'bom', 'app', 'lix', 'merecer', 'baixar', 'baixei', 'xigar', 'app', 'lix', 'bos', 'nunca', 'baixem', 'colocar', 'anuncio', 'tirar', 'espaco', 'super', 'recomendo', 'ror', 'simbolos', 'bocar']",app horrivel tira anuncio saber pessoa colocar nota bom app lix merecer baixar baixei xigar app lix bos nunca baixem colocar anuncio tirar espaco super recomendo ror simbolos bocar,-1,-4.6760697,-0.5319551,,1538
aplicativo nao funciona direito,disgust,negative,"['aplicativo', 'naoer', 'funcionar', 'direito']",aplicativo naoer funcionar direito,-1,-5.6727233,-2.3233786,,1562
espero resolva problema celular ficarei muita satisfeita aplicativo,neutral,neutral,"['esperar', 'resolvar', 'problema', 'celular', 'ficarar', 'satisfeita', 'aplicativo']",esperar resolvar problema celular ficarar satisfeita aplicativo,-1,-0.9120045,-4.087959,,1610
ate agora nao encontrei solucao problema nao resolver vou desinstalar,neutral,neutral,"['agora', 'encontrar', 'solucao', 'problema', 'nao', 'resolver', 'desinstalar']",agora encontrar solucao problema nao resolver desinstalar,-1,-0.8398308,-4.129955,,1649
ridiculo so atrapalha celular,anger,negative,"['Ridiculo', 'atrapalhar', 'celular']",ridiculo atrapalhar celular,-1,-6.103922,-2.3671794,,1656
nao chegar anuncio ja ta ficando cansativo denunciem app hacker lendo c ta horrivel,anger,negative,"['chegar', 'anuncio', 'ficar', 'cansativo', 'denunciem', 'app', 'hacker', 'ler', 'horrivel']",chegar anuncio ficar cansativo denunciem app hacker ler horrivel,-1,-6.4592996,-1.0352591,,1663
nao gostei porque antes instalar ja incomodando,disgust,negative,"['gostar', 'antes', 'instalar', 'incomodar']",gostar antes instalar incomodar,-1,-6.7366605,-3.1508842,,1674
aplicativo virus cuidado nao instale adware fica aparecendo varias propagandas todos apps instalado denunciem play store,fear,negative,"['aplicativo', 'cuidado', 'instalar', 'adware', 'ficar', 'aparecer', 'vario', 'propagando', 'apps', 'instalar', 'play', 'store']",aplicativo cuidado instalar adware ficar aparecer vario propagando apps instalar play store,-1,-5.9515243,-0.5026522,,1680
acabando testar nao agradar desinstalo,neutral,neutral,"['acabar', 'testar', 'agradar', 'desinstalo']",acabar testar agradar desinstalo,-1,-7.372111,-4.092019,,1696
nao bom acabei instalar,neutral,neutral,"['nao', 'bom', 'acabar', 'instalar']",nao bom acabar instalar,-1,-6.9428825,-3.3651364,,1703
primeira vez q vou utilizar app gostaria q limpassem telefone favor,neutral,neutral,"['vez', 'utilizar', 'gostar', 'limpar', 'telefone', 'favor']",vez utilizar gostar limpar telefone favor,-1,-4.968455,-1.8508755,,1717
vim pra manda anuncio aplicativo,neutral,neutral,"['vir', 'manda', 'anuncio', 'aplicativo']",vir manda anuncio aplicativo,-1,-6.887934,-2.3445218,,1721
espero resolva vez problema,neutral,neutral,"['esperar', 'resolvar', 'vez', 'problema']",esperar resolvar vez problema,-1,-0.8852239,-4.165302,,1729
nao gosto instalei porque ficou incomodando,disgust,negative,"['nao', 'gosto', 'instalei', 'ficar', 'incomodar']",nao gosto instalei ficar incomodar,-1,-6.7847276,-3.1419497,,1737
nao adiantou instalar,disgust,negative,"['adiantar', 'instalar']",adiantar instalar,-1,-6.4460187,-2.9179134,,1742
nao serve aqui motorola,disgust,negative,"['nao', 'servir', 'aqui', 'motorola']",nao servir aqui motorola,-1,-6.7216997,-2.880508,,1754
so aparece anuncio celular,disgust,negative,"['aparecer', 'anuncio', 'celular']",aparecer anuncio celular,-1,-6.476315,-2.3364544,,1765
merd app toddo jogo qu abro passa propaganda cada minutos n gostei pq tambem n funciona q denunciar app n pode forcar ninguem abaixar queremos paz,anger,negative,"['merd', 'app', 'toddo', 'jogo', 'abro', 'passar', 'propagandar', 'minuto', 'gostar', 'funcionar', 'denunciar', 'app', 'poder', 'forcar', 'abaixar', 'querer', 'paz']",merd app toddo jogo abro passar propagandar minuto gostar funcionar denunciar app poder forcar abaixar querer paz,-1,-5.178194,-1.3204657,,1791
cada vez menos sendo app troca mensagem agora ja fica empurrando canais assinar conteudo nao pedi quero bem perto excluir ja fiz facebook instagram,disgust,negative,"['cada', 'menos', 'app', 'troca', 'mensagem', 'agora', 'ficar', 'empurrar', 'canal', 'assinar', 'Pedi', 'querer', 'bem', 'perto', 'excluir', 'instagr']",cada menos app troca mensagem agora ficar empurrar canal assinar pedi querer bem perto excluir instagr,-1,-5.100653,-1.2924849,,2101
faco caminhada esteira fisioterapia diaria visto pouco equilibrio tronco sequelas ruptura aneurisma cerebral consequentemente meningite bacteriana adquirida durante dias uti hospitalar ando dificuldade ajuda sinto sequela neurologica conviver ate finitude hoje anos totalmente lucida problema relatei ha anos exatamente agosto puder ajudar mi,neutral,neutral,"['faco', 'caminhar', 'esteiro', 'fisioterapia', 'diario', 'ver', 'equilibrio', 'sequela', 'ruptura', 'aneurismo', 'cerebral', 'consequentemente', 'meningite', 'bacteriana', 'adquirir', 'dia', 'hospitalar', 'ar', 'dificuldade', 'ajudar', 'sinto', 'sequelo', 'neurologico', 'conviver', 'finitude', 'hoje', 'ano', 'totalmente', 'lucer', 'problema', 'relatar', 'ha', 'ano', 'exatamente', 'agosto', 'puder', 'ajudar', 'mi']",faco caminhar esteiro fisioterapia diario ver equilibrio sequela ruptura aneurismo cerebral consequentemente meningite bacteriana adquirir dia hospitalar ar dificuldade ajudar sinto sequelo neurologico conviver finitude hoje ano totalmente lucer problema relatar ha ano exatamente agosto puder ajudar mi,-1,-0.85803264,8.686496,,2102
amava app ate comecar travar tudo piorando hj dia so fica dando erro nao abre celular app nao sei aconteceu,disgust,negative,"['amar', 'app', 'comecar', 'travar', 'piorar', 'dia', 'ficar', 'dar', 'erro', 'abrir', 'celular', 'app', 'saber', 'acontecer']",amar app comecar travar piorar dia ficar dar erro abrir celular app saber acontecer,-1,-5.163839,-1.1504506,,2313
to deixando duas estrelas so pq consegui abrir app coloco informacoes login senha conta gov direcionam pra tela onde pra autorizar dados pessoais dai aperto nao sai daquela tela nao acontece nada infelizmente nao consegui resolver coisas causa desse problema,disgust,negative,"['deixar', 'estrela', 'abrir', 'app', 'coloco', 'informacoes', 'ssenh', 'contar', 'gov', 'direcionar', 'tela', 'autorizar', 'dado', 'pessoal', 'dai', 'sair', 'tela', 'nao', 'acontecer', 'infelizmente', 'conseguir', 'resolver', 'coisa', 'causa', 'problema']",deixar estrela abrir app coloco informacoes ssenh contar gov direcionar tela autorizar dado pessoal dai sair tela nao acontecer infelizmente conseguir resolver coisa causa problema,-1,-5.2153707,-0.81965035,,2754
nao pra crer problema anterior resolveram agora criaram outro aplicativo fica dizendo foto enviada baixa qualidade pra procurar local bem iluminado pois bem tentei sol luzes acesas dentro casa pouca luz muita luz todo jeito sempre mesma mensagem voces querem foto profissional estudio so comprar celular nasa ja pesquisaram media celulares populacao,anger,negative,"['nao', 'crer', 'problema', 'anterior', 'resolver', 'agora', 'criar', 'aplicativo', 'ficar', 'dizer', 'foto', 'enviar', 'baixo', 'qualidade', 'procurar', 'local', 'bem', 'iluminado', 'pois', 'bem', 'tentar', 'sol', 'luz', 'aceso', 'dentro', 'casa', 'luz', 'luz', 'jeito', 'sempre', 'mesmo', 'mensagem', 'voce', 'querer', 'foto', 'profissional', 'estudio', 'comprar', 'celular', 'pesquisar', 'media', 'celular', 'populacaor']",nao crer problema anterior resolver agora criar aplicativo ficar dizer foto enviar baixo qualidade procurar local bem iluminado pois bem tentar sol luz aceso dentro casa luz luz jeito sempre mesmo mensagem voce querer foto profissional estudio comprar celular pesquisar media celular populacaor,-1,-0.010350256,-1.1033939,,2760
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao norte americana desenvolvimento venda produtos higiene,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'desenvolvimento', 'venda', 'produto']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar norte americano desenvolvimento venda produto,-1,4.856592,-4.1822605,,3074
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao nortenha volta comercio wiuu,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'nortenho', 'volta', 'Wiuu']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar nortenho volta wiuu,-1,4.8524323,-4.1801815,,3075
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao norte americana desenvolver boa imagem industria,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'desenvolver', 'bom', 'imagem', 'industrio']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar norte americano desenvolver bom imagem industrio,-1,4.860323,-4.1877213,,3076
