content_traduzido,sentiment,sentiment_polarity
o app da shopee e razoavel apesar de ser facil de utilizar apresenta alguns bugs por exemplo sugestao de palavra errada no campo de pesquisa que acarreta na busca errada sugestoes de produtos que nao tem nada a ver com coisas de nosso interesse dificuldade de acesso de alguns jogos ou travamento durante alguma jogada falhas para carregar certos anexos para avaliacao dos produtos no geral sao problemas que se pode contornar pois nao ocorrem com tanta frequencia,sadness,positive
o app e bem otimizado facil de visualizar os produtos pedidos e rastreio interface intuitiva porem existem incomodos acho que o principal e a ma recomendacao de produtos as vezes aparece uns produtos que nao deveriam aparecer e que nao tem nada a ver com o pesquisado ate entao como brinquedos sexuais me incomoda um pouco isso porem nao atrapalha por completo a utilizacao do app no geral o app e muito bom e a loja em geral tambem faz um bom trabalho,sadness,positive
o app e muito bom pratico e facil de entender porem alguns vendedores mandam produtos que apesar de bem semelhantes ao anuncio ainda tem la suas diferencas e em celulares fracos como o meu tem vezes que o app fecha sozinho ou trava chegando a nem abrir as vezes poderia ser mais leve e otimizado para dispositivos fracos mas fora isso o app e otimo excelentes produtos e simples de usar,sadness,positive
aplicativo muito bom mas algo que me chateou bastante foi o fato de que ao pesquisar um produto e colocar o cep aparece que o frete e gratis ou bem baratinho e que acima de o frete e gratuito mas comprei produtos de valores altos e quando coloquei no carrinho e fechei o pedido apareceu valores altos de frete deu vontade de desistir da compra mas como precisava muito acabei comprando acho que deveriam informar o valor correto do frete no momento da pesquisa quando colocamos o cep,sadness,positive
o app e muito bom porem tenho tido dificuldades para pagamento no cartao de credito apos fazer compra no pix eu altero o meio de pagamento porem quando chega na parte de colocar o codigo do cartao trava e nao sai daquela area ja deixei de fazer muitas compras por conta disso se puderem concertar esse bug seria otimo para nos consumidores,disgust,negative
e muito bom esse app porem ele fica travando um pouco ate mesmo na hora de concluir a compra ai precisa sair e entrar novamente precisaria melhor a plataforma mas no mais e bom passando para dizer que houve melhoras finalizacao da compra esta super rapida e adorei a opcao de parcelar rosto risonho com olhos bem abertos,happiness,positive
tenho gostado bastante do app acredito que em decorrencia das atualizacoes o app parou de travar durante a sua inicializacao neste momento inicio o app com muita agilidade quanto aos produtos consigo encontrar excelentes precos e qualidades tambem,happiness,positive
adoro tudo que voce pensar tem e as promocoes de frete sao o diferencial desse app as pessoas colaboram muito no sentido de avaliar os produtos com fotos e videos alem dos comentarios o que facilita identificar a qualidade na hora de escolher o que comprar ja fiz varias compras e na grande maioria fiquei muito satisfeita,happiness,positive
o app e muito bom algumas mercadorias sao realmente de qualidade e preco justo chega no prazo as vezes antes mas agora me peguei tentando rastrear um pedido que fiz e nao sei como faz rosto deprimido pelo site dos correios nao aceita pq o numero de rastreamento e fora do padrao uma vez que estava marcado pra chegar em uma data e agora mudou radicalmente se tiver alguem que saiba sobre esse rastreamento no mais estou gostando comprei muitas coisas de qualidade,sadness,positive
estava com problema inicial de nao conseguir enviar mensagens no chat para tirar duvidas sobre os produtos com os vendedores abri ajuda fiz todos os passos das orientacoes e atendimento e tive que desistalar e reinstalar o app para funcionar porem funcionou somente naquele mesmo dia no dia seguinte voltou o problema terca tambem tentei reclamar de um produto que recebi e nao consigo pois o chat nao vai hoje ja reinstalei vezes o app e nao reconhece o codigo por whatsapp ou por sms,anger,negative
