content,sentiment,sentiment_polarity
"O app da Shopee é razoável. Apesar de ser fácil de utilizar, apresenta alguns bugs. Por exemplo: Sugestão de palavra errada no campo de pesquisa que acarreta na busca errada. Sugestões de produtos que não têm nada a ver com coisas de nosso interesse. Dificuldade de acesso de alguns jogos ou travamento durante alguma jogada. Falhas para carregar certos anexos para avaliação dos produtos. No geral, são problemas que se pode contornar, pois não ocorrem com tanta frequência.",sadness,positive
"O app é bem otimizado, fácil de visualizar os produtos, pedidos e rastreio, interface intuitiva, porém existem incômodos, acho que o principal é a má recomendação de produtos, as vezes aparece uns produtos que não deveriam aparecer e que não tem nada a ver com o pesquisado até então, (como brinquedos sexuais), me incomoda um pouco isso porém não atrapalha por completo a utilização do app. No geral o app é muito bom e a loja em geral também faz um bom trabalho.",sadness,positive
"O app é muito bom, prático e fácil de entender, porém alguns vendedores mandam produtos que, apesar de bem semelhantes ao anúncio, ainda tem lá suas diferenças. E em celulares fracos, como o meu, tem vezes que o app fecha sozinho ou trava, chegando a nem abrir as vezes, poderia ser mais leve e otimizado para dispositivos fracos. Mas fora isso o app é ótimo! Excelentes produtos e simples de usar.",sadness,positive
"Aplicativo muito bom. Mas algo que me chateou bastante foi o fato de que ao pesquisar um produto e colocar o CEP aparece que o frete é grátis ou bem baratinho e que acima de 10,00 o frete é gratuito. Mas comprei 4 produtos de valores altos e quando coloquei no carrinho e fechei o pedido apareceu valores altos de frete. Deu vontade de desistir da compra, mas como precisava muito acabei comprando. Acho que deveriam informar o valor correto do frete no momento da pesquisa, quando colocamos o CEP.",sadness,positive
"o app é muito bom, porém tenho tido dificuldades para pagamento no cartão de crédito após fazer compra no pix. Eu altero o meio de pagamento porém quando chega na parte de colocar o código do cartão trava e não sai daquela área... já deixei de fazer muitas compras por conta disso. Se puderem concertar esse bug séria ótimo para nós consumidores.",disgust,negative
"É muito bom esse app, porém ele fica travando um pouco até mesmo na hora de concluir a compra, aí precisa sair e entrar novamente. Precisaria melhor a plataforma. Mas no mais é bom! Passando para dizer que houve melhoras, finalização da compra está super rápida e adorei a opção de parcelar!😃",happiness,positive
"Tenho gostado bastante do app. Acredito que em decorrência das atualizações, o app parou de travar durante a sua inicialização. Neste momento, inicio o app com muita agilidade. Quanto aos produtos, consigo encontrar excelentes preços e qualidades também!",happiness,positive
"Adoro, tudo que você pensar tem e as promoções de frete são o diferencial desse app. As pessoas colaboram muito no sentido de avaliar os produtos com fotos e vídeos, além dos comentários, o que facilita identificar a qualidade na hora de escolher o que comprar. Já fiz várias compras e, na grande maioria, fiquei muito satisfeita.",happiness,positive
"O app é muito bom,algumas mercadorias são realmente de qualidade e preço justo.Chega no prazo,as vezes antes. Mas agora me peguei tentando rastrear um pedido que fiz,e não sei como faz 😔,pelo site dos correios não aceita pq o número de rastreamento é fora do padrão,uma vez que estava marcado pra chegar em uma data e agora mudou radicalmente. Se tiver alguém que saiba sobre esse rastreamento. No mais,estou gostando,comprei muitas coisas de qualidade.",sadness,positive
"Estava com problema inicial de não conseguir enviar mensagens no chat, para tirar dúvidas sobre os produtos, com os vendedores. Abri Ajuda, fiz todos os passos das orientações e atendimento, e tive que desistalar e reinstalar o APP para funcionar, porém funcionou somente naquele mesmo dia, no dia seguinte, voltou o problema (terça). Também tentei reclamar de um produto que recebi e não consigo pois o chat não vai. Hoje já reinstalei 4 vezes o app e não reconhece o código por Whatsapp, ou por SMS",anger,negative
